NBH_NAME,MUN,LIM,HHI,WP,No_sup,Food_banks,LIM_av,HHI_av,polygon_area,population 2011,pop_density,commercial,residential,open area,government and institutional,parks and recreational,resource and industrial,waterbody,total land use,% of Neighbourhood zoned for residential,% of Neighbourhood zoned for supermarket,transport distance km,distance to the nearest Supermarket,no. of supermarkets within 5km,population per km of transit line,region
Nelles,Grimsby,9.11%,9.14%,4.05%,1,1,1.432389937,1.876796715,1.52689808,2534.00,1659.57,1,34,15,1,16,1,1,69,49.27536232,1.449275362,,0.71,6,,Niagara 
North Beamsville,Lincoln,8.05%,4.12%,5.50%,2,1,1.116504854,0.983293556,20.32375338,8393.00,412.97,1,155,51,0,5,2,6,220,70.45454545,0.454545455,10.56,1.32,2,794.7916667,Niagara 
South Beamsville,Lincoln,5.89%,4.87%,3.23%,0,0,0.816920943,1.162291169,17.92308021,4704.00,262.45,0,71,24,1,3,0,23,122,58.19672131,0,4.85,2.04,2,969.8969072,Niagara 
Vineland / Jordan,Lincoln,7.03%,3.29%,12.32%,2,0,0.975034674,0.785202864,37.34691814,6070.00,162.53,2,165,83,0,16,9,37,312,52.88461538,0.641025641,8.82,2.48,2,688.2086168,Niagara 
Campden / Tintern,Lincoln,6.92%,5.29%,7.06%,0,0,0.959778086,1.262529833,89.859865,3320.00,36.95,0,74,121,1,32,1,62,291,25.42955326,0,7.5,3.31,1,442.6666667,Niagara 
Stamford,Niagara Falls,11.18%,6.24%,6.70%,6,0,0.693978895,0.618434093,27.05993946,20627.00,762.27,2,205,308,13,76,46,10,660,31.06060606,0.303030303,37.07,1.16,15,556.4337739,Niagara 
Elgin,Niagara Falls,28.52%,20.91%,15.82%,3,1,1.770328988,2.07234886,6.8291539,11083.00,1622.90,2,249,77,7,55,14,3,407,61.17936118,0.491400491,18.35,0.76,16,603.9782016,Niagara 
Drummond / Victoria,Niagara Falls,21.38%,12.89%,12.25%,6,1,1.327126009,1.277502478,11.91537589,20473.00,1718.20,1,325,158,12,66,32,7,601,54.0765391,0.166389351,30.29,0.83,19,675.8996368,Niagara 
Chippawa / Rural,Niagara Falls,12.41%,6.86%,7.14%,1,0,0.770328988,0.67988107,115.5520182,7870.00,68.11,1,88,360,2,99,16,88,654,13.45565749,0.152905199,31.35,6.24,0,251.0366826,Niagara 
Westlane,Niagara Falls,15.45%,7.69%,8.72%,1,0,0.959031657,0.762140733,22.66733856,8850.00,390.43,2,62,180,0,59,51,10,364,17.03296703,0.549450549,24.09,1.07,11,367.3723537,Niagara 
Beaverdams,Niagara Falls,9.55%,4.75%,6.52%,4,0,0.592799503,0.470763132,28.92834887,14094.00,487.20,2,84,168,0,75,66,36,431,19.48955916,0.464037123,17.58,2.27,12,801.7064846,Niagara 
Old Town,Niagara-on-the-Lake,9.19%,6.13%,11.74%,3,1,0.928282828,1.071678322,15.08354724,5223.00,346.27,0,174,68,3,32,3,10,290,60,0,11.73,1.82,4,445.2685422,Niagara 
Queenston / St. Davids,Niagara-on-the-Lake,12.40%,6.76%,16.67%,0,0,1.252525253,1.181818182,25.35789221,2178.00,85.89,1,84,48,0,68,8,8,217,38.70967742,0.460829493,8.51,3.61,1,255.9341951,Niagara 
